Video,Views,
Ariana Grande - 7 rings (Official Video),"202,022,329",
BTS (방탄소년단) 'Life Goes On' Official MV,"201,608,356",
"TWICE ""I CAN'T STOP ME"" M/V","201,485,401",
"KANTA LAGA - @TonyKakkar Yo Yo Honey Singh, Neha Kakkar | Anshul Garg | Hindi Song 2021","200,604,980",
"DJ Boy “Coração Gelado 2” - MC's V7, Letto, Leozinho ZS, IG, Joaozinho VT, Davi e Kako (GR6 Explode)","200,517,250",
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"199,147,047",
Queen – Bohemian Rhapsody (Official Video Remastered),"198,793,366",
Olivia Rodrigo - deja vu (Official Video),"197,714,022",
Trem da Alegria - Yasmin Verissimo - Música Gospel Infantil 2,"197,418,745",
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","197,327,929",
Manike Mage Hithe මැණිකේ මගේ හිතේ - Official Cover - Yohani & Satheeshan,"196,864,855",
Saad Lamjarred & Zouhair Bahaoui - Lewjah Tani | 2021 | سعد لمجرد و زهير بهاوي - لوجه التاني,"196,496,397",
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],"196,278,588",
Raataan Lambiyan - Lyric Video|Shershaah|Sidharth – Kiara|Tanishk B.|Jubin|Asees,"195,962,750",
In The End [Official HD Music Video] - Linkin Park,"195,625,245",
Metallica: Nothing Else Matters (Official Music Video),"195,519,096",
Pharrell Williams - Happy (Video),"194,939,655",
XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),"194,761,578",
Adele - Someone Like You (Official Music Video),"194,117,210",
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),"194,103,994",
"Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona","192,762,817",
Hamza Namira - Fady Shewaya | حمزة نمرة - فاضي شوية,"192,238,292",
Avicii - The Nights,"191,364,783",
#AlaVaikunthapurramuloo - Ramuloo Ramulaa Full Video Song || Allu Arjun || Trivikram | Thaman S,"191,183,350",
Jennifer Lopez - On The Floor ft. Pitbull,"191,022,480",
aespa 에스파 'Next Level' MV,"190,844,055",
Selena - Como La Flor (Live From Astrodome),"190,820,296",
